Algoritmo,F1_Macro,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Melhores_Hiperparametros,Lista_Features,Dry_F1,Dry_Precision,Dry_Recall,Dry_PR_AUC,Wet_F1,Wet_Precision,Wet_Recall,Wet_PR_AUC
RF,0.9118923371989411,0.9160231277969189,0.9118715242310748,0.9121381411884205,0.9729446280203994,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_5', 'mfcc_11', 'spec_centroid', 'zcr_mean', 'mfcc_8', 'spec_rolloff']",0.9165460684997588,0.8771929824561403,0.9595959595959596,0.9764224409417777,0.9072386058981233,0.9548532731376975,0.86414708886619,0.9729446280203994
RF,0.9118730074299595,0.9163605337872653,0.9118601747815231,0.9121381411884205,0.9760458037370752,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_3', 'mfcc_11', 'mfcc_10', 'spec_centroid', 'mfcc_8', 'ACI']",0.9167067886374579,0.8758049678012879,0.9616161616161616,0.9748416365722237,0.907039226222461,0.9569160997732427,0.8621041879468846,0.9760458037370752
RF,0.9118730074299595,0.9163605337872653,0.9118601747815231,0.9121381411884205,0.9792515549325291,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_5', 'mfcc_3', 'mfcc_11', 'mfcc_10', 'spec_centroid', 'zcr_mean', 'mfcc_8', 'ACI']",0.9167067886374579,0.8758049678012879,0.9616161616161616,0.9794517743497914,0.907039226222461,0.9569160997732427,0.8621041879468846,0.9792515549325291
RF,0.9113971386897557,0.9152668416447944,0.9113721484508002,0.9116302691721686,0.9738402381872957,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_5', 'mfcc_11', 'mfcc_10', 'mfcc_8', 'spec_rolloff']",0.9159420289855073,0.8777777777777778,0.9575757575757575,0.9751643279691142,0.9068522483940042,0.952755905511811,0.8651685393258427,0.9738402381872957
RF,0.9113586264708622,0.9159335981838819,0.9113494495516967,0.9116302691721686,0.9778039209988546,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_5', 'mfcc_3', 'mfcc_11', 'mfcc_10', 'mfcc_8', 'spec_rolloff']",0.9162656400384985,0.875,0.9616161616161616,0.9804062828664706,0.9064516129032258,0.9568671963677639,0.8610827374872319,0.9778039209988546
RF,0.9113485344042395,0.9161093193892142,0.9113437748269209,0.9116302691721686,0.977215948524175,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_3', 'mfcc_11', 'mfcc_10', 'spec_centroid', 'zcr_mean', 'mfcc_8', 'ACI']",0.9163461538461538,0.8743119266055046,0.9626262626262626,0.9751399087307625,0.9063509149623251,0.9579067121729238,0.8600612870275791,0.977215948524175
RF,0.9113063063063063,0.9168486069024361,0.9113210759278175,0.9116302691721686,0.9771231850917315,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_3', 'mfcc_11', 'mfcc_10', 'spec_centroid', 'mfcc_8', 'spec_rolloff']",0.9166666666666666,0.8715846994535519,0.9666666666666667,0.9781025486259038,0.9059459459459459,0.9621125143513203,0.8559754851889684,0.9771231850917315
RF,0.9108541982673,0.915333658762493,0.9108443990466462,0.9111223971559167,0.9752411857917981,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_5', 'mfcc_11', 'zcr_mean', 'mfcc_8', 'spec_rolloff']",0.915743861338469,0.874885004599816,0.9606060606060606,0.9765151994501285,0.9059645351961311,0.95578231292517,0.8610827374872319,0.9752411857917981
RF,0.9108234676038732,0.9158655955081527,0.9108273748723187,0.9111223971559167,0.978597504268677,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_5', 'mfcc_3', 'mfcc_11', 'spec_centroid', 'mfcc_8', 'spec_rolloff', 'ACI']",0.9159865578492559,0.8728270814272644,0.9636363636363636,0.9804442218395835,0.9056603773584906,0.958904109589041,0.8580183861082737,0.978597504268677
RF,0.910791052879165,0.9164302971353269,0.9108103506979912,0.9111223971559167,0.9782988236968777,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_3', 'mfcc_11', 'mfcc_10', 'spec_centroid', 'zcr_mean', 'mfcc_8', 'spec_rolloff']",0.9162278602202011,0.8707916287534122,0.9666666666666667,0.9786196423253899,0.9053542455381287,0.9620689655172414,0.8549540347293156,0.9782988236968777
